student_major,event_type,department,organizer_type,expected_attendance,interest_match_score,skill_match_score,target_major_count,target_interest_count,success
Arts,sports,Engineering,club_event,50,0.37,0.46,0,1,1
Medicine,hackathon,Business,student_affairs,190,0.67,0.98,3,2,1
Education,volunteer,Business,dean_of_faculty,183,0.11,0.72,0,4,1
Computer Science,social,Sciences,dean_of_faculty,216,0.58,0.81,0,4,0
Architecture,seminar,Arts,dean_of_faculty,198,0.45,0.86,0,0,1
Arts,cultural,Engineering,club_event,25,0.78,0.71,2,1,1
Medicine,career,Business,dean_of_faculty,200,0.13,0.54,4,1,0
Law,seminar,Computer Science,student_affairs,271,0.54,0.6,4,5,1
Business,seminar,Medicine,club_event,48,0.21,0.94,1,4,1
Medicine,career,Computer Science,club_student,144,0.71,0.89,0,3,1
Computer Science,volunteer,Sciences,dean_of_faculty,155,0.21,0.57,3,2,1
Computer Science,career,Engineering,student_affairs,230,0.58,0.38,3,1,1
Computer Science,career,Student Affairs,dean_of_faculty,53,0.93,0.28,2,2,1
Engineering,workshop,Sciences,dean_of_faculty,27,0.63,0.66,2,2,1
Architecture,career,Arts,club_student,185,0.57,0.31,0,4,1
Engineering,cultural,Medicine,club_student,58,0.98,0.93,3,2,1
Engineering,social,Engineering,dean_of_faculty,43,0.37,0.66,0,0,1
Computer Science,sports,Computer Science,dean_of_faculty,220,0.19,0.78,1,4,1
Computer Science,cultural,Sciences,dean_of_faculty,234,0.89,0.66,2,5,1
Computer Science,cultural,Medicine,student_affairs,113,0.2,0.11,0,4,0
Arts,social,Student Affairs,student_affairs,196,0.48,0.75,3,1,1
Computer Science,workshop,Business,student_affairs,238,0.56,0.69,2,2,1
Business,social,Sciences,student_affairs,190,0.36,0.97,4,4,1
Business,workshop,Business,club_student,231,0.41,0.98,1,0,1
Architecture,cultural,Medicine,student_affairs,186,0.65,0.48,1,0,1
Computer Science,cultural,Business,club_student,129,0.72,0.52,1,1,1
Education,hackathon,Business,dean_of_faculty,109,0.84,0.11,0,0,1
Engineering,social,Arts,dean_of_faculty,114,0.67,0.92,2,0,1
Arts,career,Arts,club_event,127,0.9,0.75,2,4,1
Arts,workshop,Business,student_affairs,66,0.12,0.71,3,5,0
Engineering,volunteer,Business,student_affairs,248,0.32,0.83,1,4,1
Law,seminar,Engineering,club_event,81,0.82,0.27,3,5,1
Law,career,Engineering,club_event,165,0.81,0.39,0,5,1
Business,cultural,Business,club_student,255,0.81,0.65,1,4,1
Education,cultural,Medicine,dean_of_faculty,106,0.39,0.44,3,5,1
Architecture,sports,Medicine,dean_of_faculty,33,0.29,0.91,3,1,1
Medicine,hackathon,Sciences,club_event,206,0.33,0.18,0,2,1
Education,career,Medicine,club_student,253,0.56,0.4,3,3,1
Education,cultural,Arts,student_affairs,210,0.12,0.5,2,5,1
Engineering,sports,Computer Science,club_student,156,0.93,0.19,0,2,0
Arts,volunteer,Business,student_affairs,143,0.37,0.83,2,1,1
Business,sports,Engineering,student_affairs,159,0.84,0.8,3,3,1
Computer Science,cultural,Student Affairs,club_event,218,0.3,0.75,1,3,1
Architecture,cultural,Arts,club_student,175,0.86,0.49,3,1,1
Computer Science,volunteer,Business,club_event,171,0.95,0.11,2,2,1
Law,hackathon,Computer Science,student_affairs,181,0.63,0.61,0,1,1
Education,hackathon,Sciences,club_event,215,0.16,0.45,3,0,1
Architecture,sports,Engineering,club_event,68,0.71,0.26,4,3,0
Arts,seminar,Sciences,student_affairs,120,0.31,0.69,0,3,0
Computer Science,social,Arts,dean_of_faculty,215,0.24,0.2,4,3,1
Engineering,hackathon,Computer Science,club_event,81,0.88,0.38,3,1,1
Medicine,career,Medicine,dean_of_faculty,156,0.28,0.99,3,0,1
Arts,volunteer,Medicine,dean_of_faculty,250,0.52,0.14,0,2,1
Architecture,volunteer,Student Affairs,student_affairs,215,0.65,0.83,1,3,1
Law,cultural,Sciences,club_event,63,0.45,0.95,1,1,1
Medicine,seminar,Student Affairs,club_event,267,0.47,0.79,0,2,1
Engineering,volunteer,Sciences,dean_of_faculty,99,0.33,0.56,3,0,1
Architecture,hackathon,Arts,dean_of_faculty,114,0.46,0.11,0,5,1
Education,cultural,Sciences,dean_of_faculty,49,0.17,0.69,3,1,0
Medicine,social,Business,club_student,66,0.26,0.21,3,1,0
Computer Science,sports,Business,dean_of_faculty,198,0.26,0.74,4,1,1
Computer Science,seminar,Sciences,student_affairs,242,0.15,0.1,3,1,1
Education,career,Business,club_student,23,0.48,0.99,2,1,1
Engineering,career,Engineering,club_event,100,0.14,0.56,2,2,1
Arts,career,Medicine,dean_of_faculty,234,0.21,0.29,2,2,1
Law,volunteer,Engineering,dean_of_faculty,123,0.51,0.16,2,5,1
Computer Science,seminar,Business,dean_of_faculty,169,0.79,0.55,0,5,1
Business,sports,Engineering,student_affairs,213,0.71,0.98,1,2,1
Education,cultural,Engineering,student_affairs,24,0.65,0.63,3,4,1
Arts,workshop,Business,club_student,78,0.38,0.76,1,4,1
Business,volunteer,Sciences,student_affairs,118,0.24,0.28,0,1,0
Architecture,volunteer,Business,student_affairs,177,0.68,0.78,4,3,1
Medicine,workshop,Business,student_affairs,190,0.32,0.59,1,5,1
Arts,hackathon,Medicine,student_affairs,108,0.5,0.11,3,0,1
Computer Science,social,Business,club_event,61,0.26,0.59,1,1,0
Law,cultural,Arts,club_event,116,0.32,0.26,1,2,0
Architecture,career,Arts,dean_of_faculty,55,0.96,0.42,3,1,1
Law,hackathon,Computer Science,club_event,261,0.12,0.44,0,2,1
Business,social,Arts,dean_of_faculty,252,0.38,0.35,4,4,1
Education,social,Student Affairs,dean_of_faculty,115,0.24,0.27,0,4,1
Education,cultural,Sciences,dean_of_faculty,217,0.97,0.44,3,2,1
Engineering,hackathon,Engineering,club_student,212,0.94,0.25,3,2,1
Education,cultural,Student Affairs,student_affairs,44,0.69,0.93,1,1,1
Education,workshop,Student Affairs,club_event,148,0.64,0.95,1,2,1
Business,workshop,Engineering,club_student,211,0.46,0.63,0,4,1
Law,social,Computer Science,dean_of_faculty,144,0.72,0.55,4,5,1
Medicine,hackathon,Computer Science,club_student,70,0.67,0.8,2,1,1
Arts,hackathon,Student Affairs,student_affairs,18,0.99,0.83,0,0,1
Law,hackathon,Student Affairs,student_affairs,235,0.25,0.44,1,1,1
Engineering,cultural,Medicine,club_event,110,0.28,0.77,1,2,1
Law,cultural,Student Affairs,club_student,100,0.17,0.18,0,2,0
Computer Science,career,Sciences,dean_of_faculty,66,0.11,0.34,0,5,1
Computer Science,seminar,Business,club_student,207,0.64,0.99,2,3,1
Education,hackathon,Arts,student_affairs,190,1.0,0.84,2,5,1
Computer Science,volunteer,Computer Science,student_affairs,66,0.1,0.88,3,5,1
Business,workshop,Medicine,club_student,158,0.96,0.78,1,2,1
Architecture,hackathon,Student Affairs,club_event,16,0.99,0.96,2,0,1
Computer Science,volunteer,Student Affairs,dean_of_faculty,134,0.65,0.46,4,0,1
Architecture,seminar,Student Affairs,dean_of_faculty,165,0.65,0.74,4,4,1
Computer Science,social,Sciences,club_student,169,0.85,1.0,3,1,1
Engineering,cultural,Student Affairs,club_event,139,0.29,0.78,0,0,1
Computer Science,social,Arts,dean_of_faculty,158,0.3,0.33,3,5,1
Business,cultural,Engineering,student_affairs,129,0.94,0.79,4,0,1
Law,hackathon,Student Affairs,dean_of_faculty,134,0.3,0.2,0,0,0
Arts,seminar,Medicine,student_affairs,80,0.87,0.96,4,5,0
Computer Science,career,Computer Science,dean_of_faculty,231,0.39,0.43,1,4,1
Arts,seminar,Sciences,club_student,250,0.38,0.83,2,1,1
Architecture,social,Medicine,student_affairs,89,0.77,0.86,0,4,1
Engineering,sports,Computer Science,dean_of_faculty,125,0.55,0.73,3,0,1
Education,social,Computer Science,club_event,130,0.73,0.15,1,3,1
Medicine,social,Engineering,dean_of_faculty,187,0.48,0.53,2,3,1
Medicine,sports,Student Affairs,club_event,216,0.19,0.39,4,0,1
Medicine,cultural,Student Affairs,club_event,85,0.5,0.53,1,1,1
Arts,workshop,Arts,club_student,90,0.44,0.98,1,0,1
Architecture,social,Engineering,club_student,278,0.69,0.63,1,5,1
Arts,workshop,Engineering,club_event,218,0.54,0.72,1,5,1
Engineering,cultural,Computer Science,dean_of_faculty,155,0.67,0.5,0,0,1
Engineering,cultural,Student Affairs,club_event,26,0.63,0.99,3,2,1
Engineering,social,Sciences,dean_of_faculty,237,0.37,0.21,2,0,1
Business,hackathon,Computer Science,club_student,216,0.6,0.58,4,3,1
Engineering,career,Student Affairs,club_student,107,0.88,0.73,0,4,1
Education,seminar,Engineering,club_event,120,0.69,0.18,2,0,1
Engineering,sports,Arts,club_event,231,0.98,0.69,1,2,0
Medicine,cultural,Business,dean_of_faculty,175,0.57,0.99,2,4,1
Arts,seminar,Student Affairs,club_student,136,0.13,0.23,1,1,0
Arts,volunteer,Arts,club_event,231,0.17,0.33,3,5,1
Law,cultural,Engineering,student_affairs,232,0.95,0.23,1,0,1
Medicine,career,Student Affairs,student_affairs,276,0.64,0.48,1,2,1
Law,hackathon,Engineering,club_event,54,0.34,0.58,4,3,0
Engineering,volunteer,Arts,student_affairs,89,0.88,0.3,0,0,1
Arts,hackathon,Engineering,club_student,104,0.57,0.89,4,3,1
Education,sports,Medicine,student_affairs,65,0.91,0.25,3,1,1
Law,cultural,Medicine,club_event,147,0.11,0.56,1,5,1
Law,sports,Engineering,student_affairs,142,0.71,0.48,3,1,1
Education,cultural,Medicine,student_affairs,156,0.96,0.57,1,2,1
Engineering,sports,Sciences,student_affairs,61,0.67,0.17,1,0,1
Computer Science,seminar,Student Affairs,student_affairs,267,0.83,0.11,3,5,1
Business,cultural,Sciences,club_student,222,0.11,0.27,0,5,1
Education,career,Student Affairs,club_student,244,0.97,0.71,4,1,1
Education,social,Medicine,student_affairs,41,0.48,0.44,2,0,1
Arts,seminar,Arts,student_affairs,262,0.36,0.29,4,3,1
Medicine,workshop,Sciences,dean_of_faculty,44,0.42,0.65,2,2,1
Computer Science,volunteer,Student Affairs,club_event,220,0.42,0.19,3,1,1
Business,hackathon,Engineering,dean_of_faculty,18,0.24,0.69,1,3,0
Medicine,volunteer,Sciences,club_event,152,0.2,0.49,3,1,1
Law,workshop,Arts,club_event,71,0.27,0.14,3,3,0
Computer Science,social,Student Affairs,club_event,260,0.96,0.98,0,3,1
Architecture,social,Arts,dean_of_faculty,271,0.75,0.77,3,1,1
Engineering,workshop,Business,club_event,191,0.55,0.79,1,0,1
Education,hackathon,Medicine,club_student,237,0.53,0.35,0,3,1
Business,social,Business,student_affairs,73,0.88,0.99,1,5,1
Arts,cultural,Student Affairs,club_student,272,0.65,0.27,4,5,1
Arts,seminar,Business,dean_of_faculty,34,0.35,0.27,1,3,1
Arts,seminar,Computer Science,club_student,209,0.47,0.38,1,1,1
Architecture,workshop,Medicine,dean_of_faculty,41,0.37,0.34,2,2,1
Arts,volunteer,Engineering,club_event,35,0.1,0.69,2,1,0
Medicine,seminar,Sciences,club_event,144,0.95,0.43,2,0,1
Computer Science,social,Arts,student_affairs,200,0.77,0.63,4,2,1
Medicine,career,Medicine,dean_of_faculty,59,0.9,0.22,4,0,0
Arts,career,Student Affairs,dean_of_faculty,65,0.17,0.59,2,2,1
Arts,social,Engineering,club_event,113,0.48,0.74,4,2,1
Architecture,seminar,Sciences,club_student,262,0.48,0.94,4,0,1
Medicine,social,Arts,club_student,46,0.81,0.72,3,3,1
Engineering,social,Sciences,dean_of_faculty,214,0.46,0.34,1,0,1
Arts,workshop,Computer Science,dean_of_faculty,272,0.74,0.57,2,1,1
Medicine,seminar,Business,club_event,38,0.58,0.36,1,2,1
Medicine,workshop,Student Affairs,club_event,122,0.58,0.1,2,5,1
Education,volunteer,Engineering,student_affairs,83,0.47,0.65,2,0,1
Computer Science,volunteer,Business,student_affairs,105,0.33,0.11,4,0,0
Law,sports,Computer Science,club_event,241,0.3,0.34,4,5,1
Law,social,Sciences,club_event,237,0.43,0.91,0,3,1
Business,social,Business,dean_of_faculty,107,0.68,0.12,1,1,1
Arts,seminar,Business,club_student,233,0.32,0.92,3,0,1
Business,workshop,Medicine,club_student,208,0.45,0.2,0,5,1
Business,career,Computer Science,club_student,152,0.23,0.66,0,0,1
Engineering,volunteer,Computer Science,club_student,118,0.23,0.78,3,1,1
Architecture,social,Business,club_student,151,0.66,0.21,0,0,1
Engineering,hackathon,Business,club_student,129,0.12,0.48,1,2,1
Arts,hackathon,Student Affairs,club_student,266,0.25,0.2,0,2,1
Education,seminar,Arts,club_student,37,0.64,0.26,4,2,1
Law,social,Student Affairs,student_affairs,161,0.41,0.19,3,5,1
Medicine,seminar,Computer Science,club_student,91,0.8,0.23,1,3,1
Architecture,seminar,Engineering,dean_of_faculty,157,0.23,0.39,1,1,1
Education,volunteer,Sciences,dean_of_faculty,261,0.72,0.47,2,1,1
Arts,hackathon,Sciences,dean_of_faculty,267,0.58,0.84,3,0,1
Law,career,Student Affairs,club_student,135,0.43,0.28,0,2,1
Business,seminar,Engineering,student_affairs,199,0.86,0.88,1,2,1
Law,career,Business,club_event,43,0.77,0.21,1,3,1
Law,volunteer,Engineering,club_student,52,0.53,0.63,1,0,1
Business,seminar,Business,club_student,21,0.61,0.83,1,1,1
Business,sports,Sciences,dean_of_faculty,187,0.5,0.68,0,2,1
Computer Science,workshop,Medicine,club_event,272,0.24,0.46,3,5,1
Architecture,sports,Medicine,student_affairs,131,0.48,0.24,0,4,1
Business,career,Sciences,club_student,127,0.45,0.84,4,4,1
Architecture,cultural,Arts,dean_of_faculty,209,0.25,0.82,3,1,1
Engineering,seminar,Arts,student_affairs,29,0.32,0.25,0,0,0
Computer Science,sports,Business,club_event,31,0.32,0.18,4,4,1
Architecture,workshop,Engineering,student_affairs,62,0.95,0.11,2,2,1
Arts,volunteer,Computer Science,dean_of_faculty,197,0.98,0.73,0,2,1
Engineering,social,Engineering,dean_of_faculty,259,0.63,0.87,2,1,1
Architecture,seminar,Student Affairs,club_student,133,0.9,0.83,1,5,1
Education,cultural,Computer Science,club_event,188,0.36,0.66,3,0,1
Law,career,Business,club_student,93,0.61,0.99,0,0,1
Medicine,seminar,Sciences,club_student,247,0.38,0.94,1,0,1
Education,volunteer,Engineering,club_student,106,0.74,0.51,3,2,1
Architecture,social,Engineering,dean_of_faculty,35,0.43,0.36,3,4,1
Business,cultural,Arts,student_affairs,206,0.18,0.47,3,2,1
Computer Science,workshop,Student Affairs,club_event,19,0.24,0.19,3,1,0
Engineering,career,Sciences,dean_of_faculty,62,0.41,0.52,4,3,1
Business,seminar,Sciences,dean_of_faculty,117,0.46,0.16,2,4,1
Architecture,seminar,Arts,dean_of_faculty,34,0.59,0.95,1,5,1
Computer Science,hackathon,Engineering,student_affairs,235,0.98,0.29,1,0,1
Law,sports,Arts,club_event,57,0.23,0.35,0,2,0
Architecture,hackathon,Medicine,club_event,147,0.27,0.15,3,2,0
Medicine,social,Business,student_affairs,229,0.53,0.58,1,5,1
Law,workshop,Medicine,club_event,54,0.75,0.62,1,2,1
Education,workshop,Business,dean_of_faculty,90,0.55,0.38,3,2,1
Computer Science,cultural,Computer Science,club_event,245,0.68,0.62,0,1,1
Arts,hackathon,Student Affairs,club_event,208,0.29,0.29,1,5,1
Computer Science,volunteer,Computer Science,student_affairs,23,0.37,0.38,0,5,1
Architecture,hackathon,Sciences,student_affairs,195,0.85,0.48,2,0,1
Architecture,hackathon,Arts,club_event,98,0.59,0.44,3,5,1
Engineering,seminar,Computer Science,club_student,60,0.68,0.65,3,0,1
Engineering,cultural,Medicine,club_student,163,0.87,0.29,3,4,1
Arts,cultural,Engineering,student_affairs,252,0.47,0.84,3,0,1
Arts,sports,Arts,student_affairs,172,0.85,0.82,3,5,1
Law,workshop,Engineering,club_student,93,0.81,0.86,4,5,1
Education,social,Medicine,dean_of_faculty,138,0.6,0.45,4,5,1
Computer Science,hackathon,Business,dean_of_faculty,103,0.46,0.39,1,3,1
Business,seminar,Student Affairs,dean_of_faculty,148,0.85,0.24,2,1,1
Computer Science,hackathon,Engineering,club_event,29,0.66,0.59,0,4,1
Business,cultural,Student Affairs,student_affairs,110,0.32,0.91,2,1,1
Arts,hackathon,Computer Science,student_affairs,41,0.35,0.94,0,5,1
Engineering,seminar,Sciences,club_student,69,0.23,0.34,1,0,1
Education,career,Sciences,club_student,266,0.82,0.47,3,5,1
Law,hackathon,Arts,dean_of_faculty,97,0.26,0.11,1,5,0
Computer Science,seminar,Arts,student_affairs,262,1.0,0.64,0,1,1
Medicine,seminar,Business,club_student,26,0.57,0.78,1,2,1
Arts,workshop,Arts,club_event,127,0.18,0.72,1,2,1
Arts,seminar,Arts,student_affairs,254,0.77,0.55,4,3,1
Medicine,social,Business,student_affairs,216,0.19,0.81,4,2,1
Arts,cultural,Sciences,dean_of_faculty,231,0.64,0.34,2,4,1
Law,hackathon,Business,student_affairs,206,0.91,0.84,3,1,1
Medicine,hackathon,Arts,student_affairs,218,0.13,0.26,2,3,1
Education,career,Engineering,club_event,205,0.43,0.8,0,0,1
Computer Science,volunteer,Business,dean_of_faculty,179,0.91,0.61,3,2,1
Arts,seminar,Medicine,student_affairs,53,0.62,0.68,3,2,1
Arts,career,Engineering,dean_of_faculty,270,0.14,0.35,0,0,1
Education,hackathon,Business,club_student,160,0.12,0.8,4,0,1
Medicine,social,Computer Science,dean_of_faculty,33,0.91,0.93,0,2,1
Engineering,cultural,Engineering,dean_of_faculty,169,0.35,0.78,3,0,1
Education,cultural,Medicine,club_student,216,0.37,0.99,3,5,1
Engineering,volunteer,Medicine,club_student,29,0.3,0.84,1,0,0
Law,career,Business,club_student,112,0.75,0.83,4,0,1
Computer Science,sports,Computer Science,club_student,71,0.14,0.37,2,2,1
Law,sports,Student Affairs,club_event,85,0.63,0.21,2,1,1
Law,cultural,Student Affairs,club_student,138,0.62,0.7,2,2,1
Architecture,career,Engineering,student_affairs,166,0.74,0.42,1,5,1
Arts,seminar,Engineering,dean_of_faculty,45,0.29,0.7,3,3,0
Engineering,volunteer,Business,student_affairs,174,0.74,0.69,4,0,1
Arts,volunteer,Sciences,dean_of_faculty,277,0.28,0.46,0,2,1
Medicine,seminar,Business,dean_of_faculty,69,0.77,0.32,3,1,1
Architecture,cultural,Arts,student_affairs,75,0.93,0.18,3,1,1
Law,volunteer,Engineering,dean_of_faculty,154,0.43,0.14,3,5,1
Arts,sports,Business,dean_of_faculty,105,0.63,0.58,3,4,1
Computer Science,career,Engineering,club_event,73,0.15,0.13,2,1,0
Engineering,sports,Business,dean_of_faculty,215,0.45,0.3,2,3,1
Arts,volunteer,Student Affairs,student_affairs,162,0.76,0.18,4,5,1
Medicine,career,Business,student_affairs,50,0.25,0.4,3,1,0
Architecture,hackathon,Arts,club_student,105,0.98,0.89,1,5,1
Computer Science,volunteer,Sciences,club_student,265,0.89,0.53,0,0,1
Medicine,career,Medicine,club_event,90,0.8,0.19,2,3,1
Education,sports,Student Affairs,dean_of_faculty,144,0.43,0.11,2,2,1
Architecture,seminar,Arts,club_student,90,0.98,0.87,1,2,1
Arts,hackathon,Arts,club_event,60,0.27,0.96,0,2,1
Architecture,social,Arts,student_affairs,184,0.45,0.48,2,2,1
Education,seminar,Sciences,dean_of_faculty,192,0.36,0.97,3,5,1
Business,sports,Medicine,club_event,170,0.54,0.16,2,0,1
Arts,sports,Computer Science,club_student,42,0.54,0.1,2,5,1
Computer Science,sports,Business,student_affairs,160,0.81,0.55,4,1,1
Medicine,social,Student Affairs,club_event,236,0.63,0.17,1,0,1
Education,career,Computer Science,dean_of_faculty,231,0.46,0.91,2,2,1
Business,hackathon,Student Affairs,student_affairs,86,0.71,0.28,1,3,1
Medicine,sports,Engineering,student_affairs,251,0.59,0.44,3,0,1
Architecture,volunteer,Medicine,student_affairs,254,0.42,0.52,3,3,0
Computer Science,hackathon,Engineering,club_event,169,0.81,0.62,2,1,1
Medicine,workshop,Computer Science,dean_of_faculty,79,0.46,0.11,4,3,1
Engineering,workshop,Arts,club_student,185,0.63,0.84,4,3,1
Computer Science,seminar,Student Affairs,club_student,119,0.56,0.61,3,1,1
Business,sports,Student Affairs,student_affairs,18,0.83,0.66,1,0,1
Business,seminar,Medicine,club_student,141,0.28,0.53,4,3,1
Engineering,sports,Sciences,dean_of_faculty,109,0.84,0.86,4,2,1
Architecture,seminar,Sciences,club_event,26,0.27,0.84,1,1,0
Arts,cultural,Sciences,student_affairs,163,0.7,0.96,3,2,1
Law,hackathon,Student Affairs,club_student,252,0.48,0.48,0,2,1
Law,workshop,Medicine,student_affairs,32,0.68,0.9,4,3,0
Education,social,Sciences,dean_of_faculty,156,0.11,0.24,4,4,0
Law,seminar,Business,club_event,195,0.69,0.61,3,5,1
Business,sports,Computer Science,student_affairs,216,0.16,0.86,3,3,1
Business,sports,Business,student_affairs,193,0.63,0.85,0,0,0
Business,career,Engineering,club_student,270,0.94,0.53,1,5,1
Engineering,social,Student Affairs,dean_of_faculty,230,0.93,0.16,2,0,0
Engineering,cultural,Computer Science,student_affairs,30,0.93,0.39,3,3,1
Arts,career,Arts,dean_of_faculty,239,0.71,0.3,1,3,1
Arts,seminar,Medicine,club_student,64,0.28,0.83,0,2,1
Engineering,volunteer,Business,dean_of_faculty,112,0.85,0.61,3,4,1
Business,seminar,Sciences,dean_of_faculty,207,0.89,0.61,1,4,1
Engineering,cultural,Business,club_student,184,0.12,0.84,2,2,1
Education,seminar,Computer Science,club_event,162,0.17,0.62,4,4,1
Law,workshop,Medicine,club_student,256,0.94,0.99,0,0,1
Medicine,career,Arts,club_student,86,0.28,0.84,2,5,1
Computer Science,career,Sciences,club_student,33,0.41,0.16,3,4,1
Engineering,cultural,Business,student_affairs,36,0.19,0.55,1,5,0
Architecture,sports,Computer Science,club_event,25,0.94,0.12,1,4,1
Law,workshop,Medicine,dean_of_faculty,41,0.45,0.44,1,3,1
Business,seminar,Sciences,club_student,203,0.42,0.41,0,1,1
Computer Science,career,Sciences,club_student,22,0.89,0.32,0,0,0
Architecture,social,Arts,club_student,175,0.41,0.69,1,2,1
Law,cultural,Student Affairs,club_student,54,0.17,0.94,1,3,1
Education,career,Sciences,student_affairs,202,0.8,0.36,1,4,1
Education,seminar,Engineering,student_affairs,225,0.73,0.66,2,0,1
Business,career,Arts,club_event,77,0.44,0.83,1,0,1
Architecture,cultural,Engineering,club_student,270,0.85,0.34,4,3,1
Engineering,workshop,Arts,dean_of_faculty,268,0.12,0.44,3,0,1
Law,social,Student Affairs,dean_of_faculty,41,0.69,0.13,2,0,1
Education,sports,Computer Science,club_event,29,0.41,0.85,3,3,1
Computer Science,seminar,Medicine,dean_of_faculty,162,0.87,0.94,3,3,1
Medicine,social,Sciences,dean_of_faculty,136,0.22,0.11,2,0,0
Medicine,volunteer,Medicine,dean_of_faculty,34,0.65,0.43,2,5,1
Computer Science,seminar,Arts,student_affairs,150,0.86,0.5,0,3,0
Computer Science,volunteer,Sciences,club_event,224,0.15,0.94,2,4,1
Engineering,cultural,Business,student_affairs,156,0.33,0.55,1,5,1
Computer Science,career,Engineering,club_student,109,0.72,0.87,4,2,0
Arts,workshop,Student Affairs,student_affairs,146,0.11,0.86,2,4,1
Arts,volunteer,Engineering,club_student,274,0.5,0.56,1,1,1
Education,hackathon,Engineering,dean_of_faculty,159,0.23,0.39,2,2,1
Education,cultural,Arts,club_student,97,0.43,0.36,1,4,0
Arts,volunteer,Medicine,student_affairs,125,0.44,0.62,1,3,1
Engineering,seminar,Business,dean_of_faculty,77,0.86,0.57,0,4,1
Architecture,volunteer,Arts,club_event,165,0.92,0.4,2,1,1
Engineering,career,Sciences,dean_of_faculty,200,0.17,0.6,0,2,1
Arts,cultural,Computer Science,dean_of_faculty,132,0.61,0.84,1,4,1
Law,social,Medicine,student_affairs,161,0.41,0.21,3,3,1
Business,cultural,Student Affairs,club_event,107,0.89,0.11,0,3,1
Architecture,seminar,Business,club_student,235,0.12,0.25,0,1,0
Law,hackathon,Arts,club_event,220,0.73,0.32,2,0,1
Education,seminar,Student Affairs,club_student,52,0.76,0.42,3,3,1
Law,sports,Computer Science,dean_of_faculty,83,0.76,0.75,4,4,1
Computer Science,volunteer,Student Affairs,dean_of_faculty,209,0.39,0.26,4,2,1
Engineering,career,Arts,dean_of_faculty,189,0.14,0.57,4,4,1
Law,sports,Arts,dean_of_faculty,178,0.78,0.96,0,5,1
Arts,hackathon,Medicine,student_affairs,175,0.19,0.36,0,2,1
Architecture,career,Business,student_affairs,147,0.99,0.78,1,5,1
Engineering,career,Medicine,club_event,29,0.64,0.14,4,4,1
Computer Science,cultural,Computer Science,club_student,204,0.28,0.95,4,3,1
Business,cultural,Arts,club_student,76,0.5,0.49,2,0,1
Medicine,seminar,Arts,club_student,128,0.75,0.39,4,2,1
Engineering,volunteer,Engineering,dean_of_faculty,66,0.94,0.81,2,1,1
Computer Science,workshop,Business,club_event,207,0.88,0.3,1,2,1
Architecture,social,Student Affairs,dean_of_faculty,159,0.22,0.67,0,4,1
Arts,workshop,Sciences,club_student,266,0.6,0.29,1,0,1
Medicine,hackathon,Student Affairs,club_event,193,0.54,0.69,1,2,1
Medicine,cultural,Sciences,dean_of_faculty,197,0.59,0.37,1,0,1
Medicine,hackathon,Sciences,student_affairs,141,0.7,0.2,3,2,1
Education,hackathon,Student Affairs,club_event,262,0.86,0.88,4,3,1
Computer Science,sports,Arts,club_event,224,0.15,0.79,2,5,1
Law,cultural,Sciences,dean_of_faculty,148,0.92,0.34,1,2,1
Computer Science,sports,Sciences,dean_of_faculty,128,0.62,0.25,1,5,1
Education,social,Medicine,club_student,25,0.82,0.18,2,2,1
Engineering,workshop,Medicine,club_event,200,0.58,0.99,4,3,1
Arts,sports,Computer Science,club_event,206,0.4,0.29,1,0,0
Computer Science,seminar,Medicine,dean_of_faculty,263,0.14,0.35,0,1,1
Arts,workshop,Arts,club_student,208,0.69,0.22,2,0,1
Law,workshop,Engineering,club_event,63,0.76,0.81,1,4,1
Education,hackathon,Medicine,club_student,169,0.35,0.28,2,5,1
Law,sports,Sciences,club_student,128,0.97,0.6,3,2,1
Arts,hackathon,Engineering,dean_of_faculty,216,0.96,0.79,0,3,1
Computer Science,hackathon,Computer Science,club_event,243,0.43,0.61,2,2,1
Engineering,seminar,Medicine,club_event,121,0.88,0.54,1,0,1
Architecture,career,Engineering,dean_of_faculty,144,0.47,0.77,1,0,1
Law,workshop,Arts,club_event,265,0.59,0.38,1,2,1
Architecture,seminar,Engineering,dean_of_faculty,54,0.44,0.78,1,4,1
Business,career,Sciences,club_student,34,0.9,0.55,4,3,1
Law,hackathon,Engineering,student_affairs,75,0.49,0.36,2,4,1
Education,social,Business,student_affairs,119,0.82,0.96,2,4,1
Architecture,cultural,Business,student_affairs,84,0.25,0.74,3,0,1
Business,social,Sciences,club_student,17,0.38,0.27,0,4,0
Engineering,workshop,Medicine,dean_of_faculty,95,0.16,0.67,1,2,1
Arts,sports,Arts,dean_of_faculty,171,0.43,0.79,2,4,1
Arts,seminar,Medicine,club_event,67,0.76,0.35,2,4,1
Law,volunteer,Medicine,student_affairs,257,0.29,0.1,1,1,1
Business,social,Business,dean_of_faculty,15,0.39,0.91,0,1,1
Architecture,hackathon,Student Affairs,dean_of_faculty,182,0.37,0.78,1,4,1
Law,cultural,Arts,student_affairs,177,0.58,0.89,1,1,1
Medicine,social,Computer Science,dean_of_faculty,241,0.54,0.81,0,4,1
Education,social,Engineering,student_affairs,253,0.79,0.41,3,1,1
Arts,hackathon,Arts,club_event,20,0.28,0.42,1,0,0
Education,seminar,Arts,student_affairs,272,0.93,0.65,0,5,1
Architecture,hackathon,Engineering,student_affairs,155,0.66,0.97,0,5,1
Architecture,cultural,Business,dean_of_faculty,68,0.13,0.13,1,5,0
